date,,maker,electric_vehicles_sold,YEAR,vehicle_category,,,,,,,,,,
01-04-2022,,Mahindra & Mahindra,552,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,BYD India,1,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Hyundai Motor,10,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Mercedes -Benz AG,1,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Tata Motors,1992,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,MG Motor,363,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Mahindra & Mahindra,1260,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,BYD India,37,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Hyundai Motor,68,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,BMW India,27,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Mercedes -Benz AG,6,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Volvo Auto India,16,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,KIA Motors,65,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Tata Motors,4893,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,MG Motor,753,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Mahindra & Mahindra,1015,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,BYD India,135,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Hyundai Motor,97,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,PCA Automobiles,40,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,BMW India,137,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mercedes -Benz AG,51,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Volvo Auto India,47,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,KIA Motors,23,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Tata Motors,1012,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,MG Motor,48,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mahindra & Mahindra,474,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,BYD India,8,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Hyundai Motor,6,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mercedes -Benz AG,2,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Tata Motors,1812,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,MG Motor,313,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mahindra & Mahindra,967,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,BYD India,101,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Hyundai Motor,84,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,BMW India,91,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mercedes -Benz AG,14,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Volvo Auto India,21,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,KIA Motors,35,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Tata Motors,5674,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,MG Motor,908,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,Mahindra & Mahindra,896,2022,4-Wheelers,,,,,,,,,,
01-05-2022,,BYD India,123,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Hyundai Motor,128,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,PCA Automobiles,23,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,BMW India,116,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Mercedes -Benz AG,29,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Volvo Auto India,42,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,KIA Motors,29,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Tata Motors,1922,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,MG Motor,30,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Mahindra & Mahindra,478,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,BYD India,10,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Hyundai Motor,6,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Mercedes -Benz AG,3,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Tata Motors,2651,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,MG Motor,261,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Mahindra & Mahindra,1531,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,BYD India,174,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Hyundai Motor,36,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,BMW India,43,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Mercedes -Benz AG,12,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Volvo Auto India,26,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,KIA Motors,22,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,Tata Motors,5081,2022,4-Wheelers,,,,,,,,,,
01-06-2022,,MG Motor,829,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Mahindra & Mahindra,712,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,BYD India,135,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Hyundai Motor,94,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,PCA Automobiles,64,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,BMW India,97,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Mercedes -Benz AG,24,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Volvo Auto India,35,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,KIA Motors,17,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Tata Motors,2900,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,MG Motor,75,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,Mahindra & Mahindra,701,2022,4-Wheelers,,,,,,,,,,
01-07-2022,,BYD India,14,2022,4-Wheelers,,,,,,,,,,
